690,15,,,,,,,,,,,,,,
3,25.67,0.29,4,4,3,9,1.5,1,1,0,2,1,00160,0,2
2,24.50,2.415,4,4,3,9,0.0,1,1,0,1,1,00120,0,2
3,24.08,0.875,3,2,11,9,0.085,1,2,4,1,1,00254,1950,2
3,21.92,0.5,3,2,3,9,0.125,1,1,0,1,1,00360,0,2
2,36.58,0.29,3,2,7,4,0.0,1,2,10,1,1,00200,18,2
2,23.00,1.835,3,2,9,6,0.0,1,2,1,1,1,00200,53,2
2,27.58,3.0,3,2,11,9,2.79,1,2,1,2,1,00280,10,2
3,31.08,3.085,3,2,3,9,2.5,1,2,2,2,1,00160,41,2
2,30.42,1.375,3,2,14,5,0.04,1,2,3,1,1,00000,33,2
3,22.08,2.335,3,2,10,9,0.75,1,1,0,1,1,00180,0,2
3,16.33,4.085,3,2,8,5,0.415,1,1,0,2,1,00120,0,2
2,21.92,11.665,3,2,10,5,0.085,1,1,0,1,1,00320,5,2
3,21.08,4.125,4,4,8,5,0.04,1,1,0,1,1,00140,100,2
3,17.42,6.5,3,2,8,9,0.125,1,1,0,1,1,00060,100,2
3,19.17,4.0,4,4,8,9,1.0,1,1,0,2,1,00360,1000,2
3,20.67,0.415,3,2,3,9,0.125,1,1,0,1,1,00000,44,2
3,26.75,2.0,3,2,5,9,0.75,1,1,0,2,1,00080,0,2
3,23.58,0.835,3,2,8,5,0.085,1,1,0,2,1,00220,5,2
3,39.17,2.5,4,4,8,5,10.0,1,1,0,2,3,00200,0,2
3,22.75,11.5,3,2,8,9,0.415,1,1,0,1,1,00000,0,2
1,26.50,2.71,4,4,1,1,0.085,1,1,0,1,3,00080,0,2
2,16.92,0.5,3,2,8,9,0.165,1,2,6,2,1,00240,35,2
3,23.50,3.165,4,4,10,9,0.415,1,2,1,2,1,00280,80,2
2,17.33,9.5,3,2,2,9,1.75,1,2,10,2,1,00000,10,2
3,23.75,0.415,4,4,3,9,0.04,1,2,2,1,1,00128,6,2
3,34.67,1.08,3,2,11,9,1.165,1,1,0,1,3,00028,0,2
3,74.83,19.0,4,4,7,4,0.04,1,2,2,1,1,00000,351,2
3,28.17,0.125,4,4,10,9,0.085,1,1,0,1,1,00216,2100,2
3,24.50,13.335,4,4,2,9,0.04,1,1,0,2,1,00120,475,2
3,18.83,3.54,4,4,7,4,0.0,1,1,0,2,1,00180,1,2
1,45.33,1.0,3,2,12,9,0.125,1,1,0,2,1,00263,0,2
2,47.25,0.75,3,2,12,5,2.75,2,2,1,1,1,00333,892,1
3,24.17,0.875,3,2,12,9,4.625,2,2,2,2,1,00520,2000,1
3,39.25,9.5,3,2,11,9,6.5,2,2,14,1,1,00240,4607,1
2,20.50,11.835,3,2,3,5,6.0,2,1,0,1,1,00340,0,1
2,18.83,4.415,4,4,3,5,3.0,2,1,0,1,1,00240,0,1
3,19.17,9.5,3,2,14,9,1.5,2,1,0,1,1,00120,2206,1
2,25.00,0.875,3,2,15,5,1.04,2,1,0,2,1,00160,5860,1
3,20.17,9.25,3,2,3,9,1.665,2,2,3,2,1,00040,28,1
3,25.75,0.5,3,2,3,9,1.46,2,2,5,2,1,00312,0,1
3,20.42,7.0,3,2,3,9,1.625,2,2,3,1,1,00200,1391,1
3,0,4.0,3,2,15,9,5.0,2,2,3,2,1,00290,2279,1
3,39.00,5.0,3,2,4,9,3.5,2,2,10,2,1,00000,0,1
2,64.08,0.165,3,2,7,4,0.0,2,2,1,1,1,00232,100,1
3,28.25,5.125,3,2,15,9,4.75,2,2,2,1,1,00420,7,1
2,28.75,3.75,3,2,3,9,1.085,2,2,1,2,1,00371,0,1
3,31.33,19.5,3,2,3,9,7.0,2,2,16,1,1,00000,5000,1
2,18.92,9.0,3,2,2,9,0.75,2,2,2,1,1,00088,591,1
2,24.75,3.0,3,2,12,5,1.835,2,2,19,1,1,00000,500,1
2,30.67,12.0,3,2,3,9,2.0,2,2,1,1,1,00220,19,1
3,21.00,4.79,4,4,14,9,2.25,2,2,1,2,1,00080,300,1
3,13.75,4.0,4,4,14,9,1.75,2,2,2,2,1,00120,1000,1
2,46.00,4.0,3,2,9,6,0.0,2,1,0,1,1,00100,960,1
2,44.33,0.0,3,2,3,9,2.5,2,1,0,1,1,00000,0,1
3,20.25,9.96,3,2,6,3,0.0,2,1,0,1,1,00000,0,1
3,22.67,2.54,4,4,3,5,2.585,2,1,0,1,1,00000,0,1
3,0,10.5,3,2,15,9,6.5,2,1,0,1,1,00000,0,1
2,60.92,5.0,3,2,2,9,4.0,2,2,4,1,1,00000,99,1
3,16.08,0.75,3,2,3,9,1.75,2,2,5,2,1,00352,690,1
2,28.17,0.375,3,2,12,9,0.585,2,2,4,1,1,00080,0,1
3,39.17,1.71,3,2,15,9,0.125,2,2,5,2,1,00480,0,1
1,20.42,7.5,3,2,10,9,1.5,2,2,1,1,1,00160,234,1
2,30.00,5.29,3,2,6,3,2.25,2,2,5,2,1,00099,500,1
3,22.83,3.0,3,2,11,9,1.29,2,2,1,1,1,00260,800,1
2,22.50,8.5,3,2,12,9,1.75,2,2,10,1,1,00080,990,2
2,28.58,1.665,3,2,12,9,2.415,2,1,0,2,1,00440,0,2
3,45.17,1.5,3,2,3,9,2.5,2,1,0,2,1,00140,0,2
3,41.58,1.75,3,2,10,9,0.21,2,1,0,1,1,00160,0,2
2,57.08,0.335,3,2,8,2,1.0,2,1,0,2,1,00252,2197,2
2,55.75,7.08,3,2,10,5,6.75,2,2,3,2,1,00100,50,2
3,43.25,25.21,3,2,12,5,0.21,2,2,1,1,1,00760,90,2
2,25.33,2.085,3,2,3,5,2.75,2,1,0,2,1,00360,1,2
2,24.58,0.67,3,2,2,5,1.75,2,1,0,1,1,00400,0,2
3,43.17,2.25,3,2,8,2,0.75,2,1,0,1,1,00560,0,2
3,40.92,0.835,3,2,7,4,0.0,2,1,0,1,1,00130,1,2
3,31.83,2.5,3,2,2,9,7.5,2,1,0,2,1,00523,0,2
2,33.92,1.585,4,4,7,4,0.0,2,1,0,1,1,00320,0,2
2,24.92,1.25,3,2,7,4,0.0,2,1,0,1,1,00080,0,2
3,35.25,3.165,3,2,15,5,3.75,2,1,0,2,1,00680,0,2
3,34.25,1.75,3,2,14,2,0.25,2,1,0,2,1,00163,0,2
3,80.25,5.5,3,2,1,1,0.54,2,1,0,1,1,00000,340,2
3,19.42,1.5,4,4,4,9,2.0,2,1,0,2,1,00100,20,2
3,42.75,3.0,3,2,8,2,1.0,2,1,0,1,1,00000,200,2
3,19.67,10.0,4,4,10,5,0.835,2,1,0,2,1,00140,0,2
3,36.33,3.79,3,2,14,9,1.165,2,1,0,2,1,00200,0,2
3,30.08,1.04,4,4,8,2,0.5,2,2,10,2,1,00132,28,2
3,44.25,11.0,4,4,5,9,1.5,2,1,0,1,3,00000,0,2
3,23.58,0.46,4,4,14,9,2.625,2,2,6,2,1,00208,347,2
3,23.92,1.5,3,2,5,5,1.875,2,2,6,1,1,00200,327,1
3,33.17,1.0,3,2,15,9,0.75,2,2,7,2,1,00340,4071,1
3,48.33,12.0,3,2,11,9,16.0,2,1,0,1,3,00110,0,1
3,76.75,22.29,3,2,6,10,12.75,2,2,1,2,1,00000,109,1
3,51.33,10.0,3,2,8,2,0.0,2,2,11,1,1,00000,1249,1
3,34.75,15.0,3,2,13,7,5.375,2,2,9,2,1,00000,134,1
3,38.58,3.335,3,2,14,9,4.0,2,2,14,1,1,00383,1344,1
2,22.42,11.25,4,4,15,5,0.75,2,2,4,1,1,00000,321,1
3,41.92,0.42,3,2,3,5,0.21,2,2,6,1,1,00220,948,1
3,29.58,4.5,3,2,14,9,7.5,2,2,2,2,1,00330,0,1
2,32.17,1.46,3,2,14,9,1.085,2,2,16,1,1,00120,2079,1
3,51.42,0.04,3,2,15,5,0.04,2,1,0,1,1,00000,3000,1
2,22.83,2.29,3,2,12,5,2.29,2,2,7,2,1,00140,2384,1
2,25.00,12.33,3,2,4,5,3.5,2,2,6,1,1,00400,458,1
3,26.75,1.125,3,2,15,5,1.25,2,1,0,1,1,00000,5298,1
3,23.33,1.5,3,2,3,5,1.415,2,1,0,1,1,00422,200,1
3,24.42,12.335,3,2,12,5,1.585,2,1,0,2,1,00120,0,1
3,42.17,5.04,3,2,12,5,12.75,2,1,0,2,1,00092,0,1
2,20.83,3.0,3,2,2,9,0.04,2,1,0,1,1,00100,0,1
3,23.08,11.5,3,2,14,5,2.125,2,2,11,2,1,00290,284,1
2,25.17,2.875,3,2,15,5,0.875,2,1,0,1,1,00360,0,1
3,43.08,0.375,4,4,3,9,0.375,2,2,8,2,1,00300,162,1
2,35.75,0.915,3,2,2,9,0.75,2,2,4,1,1,00000,1583,1
3,59.50,2.75,3,2,14,9,1.75,2,2,5,2,1,00060,58,1
3,21.00,3.0,4,4,5,9,1.085,2,2,8,2,1,00160,1,1
3,21.92,0.54,4,4,15,9,0.04,2,2,1,2,1,00840,59,1
2,65.17,14.0,3,2,7,4,0.0,2,2,11,2,1,00000,1400,1
2,20.33,10.0,3,2,3,5,1.0,2,2,4,1,1,00050,1465,1
3,32.25,0.165,4,4,3,5,3.25,2,2,1,2,1,00432,8000,1
3,30.17,0.5,3,2,3,9,1.75,2,2,11,1,1,00032,540,1
3,25.17,6.0,3,2,3,9,1.0,2,2,3,1,1,00000,0,1
3,39.17,1.625,3,2,3,9,1.5,2,2,10,1,1,00186,4700,1
3,39.08,6.0,3,2,11,9,1.29,2,2,5,2,1,00108,1097,1
3,31.67,0.83,3,2,15,9,1.335,2,2,8,2,1,00303,3290,1
3,41.00,0.04,3,2,6,9,0.04,1,2,1,1,3,00560,0,1
3,48.50,4.25,3,2,11,9,0.125,2,1,0,2,1,00225,0,1
3,32.67,9.0,4,4,14,5,5.25,2,1,0,2,1,00154,0,1
2,28.08,15.0,4,4,6,10,0.0,2,1,0,1,1,00000,13212,1
3,73.42,17.75,3,2,7,4,0.0,2,1,0,2,1,00000,0,1
3,64.08,20.0,3,2,15,5,17.5,2,2,9,2,1,00000,1000,1
3,51.58,15.0,3,2,3,9,8.5,2,2,9,1,1,00000,0,1
3,26.67,1.75,4,4,3,9,1.0,2,2,5,2,1,00160,5777,1
3,25.33,0.58,3,2,3,9,0.29,2,2,7,2,1,00096,5124,1
3,30.17,6.5,3,2,4,9,3.125,2,2,8,1,1,00330,1200,1
3,27.00,0.75,3,2,3,5,4.25,2,2,3,2,1,00312,150,1
3,23.17,0.0,1,1,1,1,0.0,1,1,0,1,2,0,0,1
3,34.17,5.25,3,2,14,9,0.085,1,1,0,2,1,00290,6,1
3,38.67,0.21,3,2,10,9,0.085,2,1,0,2,1,00280,0,1
3,25.75,0.75,3,2,3,2,0.25,2,1,0,1,1,00349,23,1
2,46.08,3.0,3,2,3,9,2.375,2,2,8,2,1,00396,4159,1
2,21.50,6.0,3,2,2,9,2.5,2,2,3,1,1,00080,918,1
1,20.08,0.125,3,2,12,9,1.0,1,2,1,1,1,00240,768,1
3,20.50,2.415,3,2,3,9,2.0,2,2,11,2,1,00200,3000,1
2,29.50,0.46,3,2,10,9,0.54,2,2,4,1,1,00380,500,1
1,42.25,1.75,4,4,1,1,0.0,1,1,0,2,1,00150,1,2
3,29.83,1.25,4,4,10,9,0.25,1,1,0,1,1,00224,0,2
3,20.08,0.25,3,2,12,9,0.125,1,1,0,1,1,00200,0,2
3,23.42,0.585,3,2,3,5,0.085,2,1,0,1,1,00180,0,2
2,29.58,1.75,4,4,10,9,1.25,1,1,0,2,1,00280,0,2
3,16.17,0.04,3,2,3,9,0.04,1,1,0,1,1,00000,0,1
3,32.33,3.5,3,2,10,9,0.5,1,1,0,2,1,00232,0,2
3,0,0.04,4,4,5,9,4.25,1,1,0,2,1,00460,0,2
3,47.83,4.165,3,2,15,2,0.085,1,1,0,2,1,00520,0,2
3,20.00,1.25,4,4,10,9,0.125,1,1,0,1,1,00140,4,2
3,27.58,3.25,4,4,12,5,5.085,1,2,2,2,1,00369,1,2
3,22.00,0.79,3,2,14,9,0.29,1,2,1,1,1,00420,283,2
3,19.33,10.915,3,2,3,2,0.585,1,2,2,2,1,00200,7,2
2,38.33,4.415,3,2,3,9,0.125,1,1,0,1,1,00160,0,2
3,29.42,1.25,3,2,3,5,0.25,1,2,2,2,1,00400,108,2
3,22.67,0.75,3,2,8,9,1.585,1,2,1,2,1,00400,9,2
3,32.25,14.0,4,4,7,4,0.0,1,2,2,1,1,00160,1,2
3,29.58,4.75,3,2,11,9,2.0,1,2,1,2,1,00460,68,2
3,18.42,10.415,4,4,2,9,0.125,2,1,0,1,1,00120,375,2
3,22.17,2.25,3,2,8,9,0.125,1,1,0,1,1,00160,10,2
3,22.67,0.165,3,2,3,6,2.25,1,1,0,2,3,00000,0,1
2,25.58,0.0,1,1,1,1,0.0,1,1,0,1,2,0,0,1
3,18.83,0.0,3,2,12,9,0.665,1,1,0,1,1,00160,1,2
3,21.58,0.79,4,4,4,9,0.665,1,1,0,1,1,00160,0,2
3,23.75,12.0,3,2,3,9,2.085,1,1,0,1,3,00080,0,2
3,22.00,7.835,4,4,8,2,0.165,1,1,0,2,1,0,0,2
3,36.08,2.54,3,2,7,4,0.0,1,1,0,1,1,00000,1000,2
3,29.25,13.0,3,2,5,5,0.5,1,1,0,1,1,00228,0,2
2,19.58,0.665,3,2,14,9,1.665,1,1,0,1,1,00220,5,2
2,22.92,1.25,3,2,12,9,0.25,1,1,0,2,1,00120,809,2
2,27.25,0.29,3,2,11,5,0.125,1,2,1,2,1,00272,108,2
2,38.75,1.5,3,2,7,4,0.0,1,1,0,1,1,00076,0,2
3,32.42,2.165,4,4,10,4,0.0,1,1,0,1,1,00120,0,2
2,23.75,0.71,3,2,14,9,0.25,1,2,1,2,1,00240,4,2
3,18.17,2.46,3,2,3,7,0.96,1,2,2,2,1,00160,587,2
3,40.92,0.5,4,4,11,9,0.5,1,1,0,2,1,00130,0,2
3,19.50,9.585,3,2,2,9,0.79,1,1,0,1,1,00080,350,2
3,28.58,3.625,3,2,2,9,0.25,1,1,0,2,1,00100,0,2
3,35.58,0.75,3,2,10,9,1.5,1,1,0,2,1,00231,0,2
3,34.17,2.75,3,2,8,2,2.5,1,1,0,2,1,00232,200,2
1,33.17,2.25,4,4,4,9,3.5,1,1,0,2,1,00200,141,2
3,31.58,0.75,4,4,2,9,3.5,1,1,0,2,1,00320,0,2
2,52.50,7.0,3,2,2,5,3.0,1,1,0,1,1,00000,0,2
3,36.17,0.42,4,4,14,9,0.29,1,1,0,2,1,00309,2,2
3,37.33,2.665,3,2,4,9,0.165,1,1,0,2,1,00000,501,2
2,20.83,8.5,3,2,3,9,0.165,1,1,0,1,1,00000,351,2
3,24.08,9.0,3,2,2,9,0.25,1,1,0,2,1,00000,0,2
3,25.58,0.335,3,2,10,5,3.5,1,1,0,2,1,00340,0,2
2,35.17,3.75,3,2,7,4,0.0,1,2,6,1,1,00000,200,2
3,48.08,3.75,3,2,8,2,1.0,1,1,0,1,1,00100,2,2
2,15.83,7.625,3,2,12,9,0.125,1,2,1,2,1,00000,160,2
2,22.50,0.415,3,2,8,9,0.335,1,1,0,2,3,00144,0,2
3,21.50,11.5,3,2,8,9,0.5,2,1,0,2,1,00100,68,2
2,23.58,0.83,3,2,12,9,0.415,1,2,1,2,1,00200,11,2
2,21.08,5.0,4,4,7,4,0.0,1,1,0,1,1,00000,0,2
3,25.67,3.25,3,2,3,5,2.29,1,2,1,2,1,00416,21,2
2,38.92,1.665,3,2,2,9,0.25,1,1,0,1,1,00000,390,2
2,15.75,0.375,3,2,3,9,1.0,1,1,0,1,1,00120,18,2
2,28.58,3.75,3,2,3,9,0.25,1,2,1,2,1,00040,154,2
3,22.25,9.0,3,2,2,9,0.085,1,1,0,1,1,00000,0,2
3,29.83,3.5,3,2,3,9,0.165,1,1,0,1,1,00216,0,2
2,23.50,1.5,3,2,14,9,0.875,1,1,0,2,1,00160,0,2
3,32.08,4.0,4,4,4,9,1.5,1,1,0,2,1,00120,0,2
3,31.08,1.5,4,4,14,9,0.04,1,1,0,1,3,00160,0,2
3,31.83,0.04,4,4,11,9,0.04,1,1,0,1,1,00000,0,2
2,21.75,11.75,3,2,3,9,0.25,1,1,0,2,1,00180,0,2
2,17.92,0.54,3,2,3,9,1.75,1,2,1,2,1,00080,5,2
3,30.33,0.5,3,2,5,5,0.085,1,1,0,2,3,00252,0,2
3,51.83,2.04,4,4,7,4,1.5,1,1,0,1,1,00120,1,2
3,47.17,5.835,3,2,14,9,5.5,1,1,0,1,1,00465,150,2
3,25.83,12.835,3,2,4,9,0.5,1,1,0,1,1,00000,2,2
2,50.25,0.835,3,2,2,9,0.5,1,1,0,2,1,00240,117,2
1,29.50,2.0,4,4,6,5,2.0,1,1,0,1,1,00256,17,2
2,37.33,2.5,3,2,8,5,0.21,1,1,0,1,1,00260,246,2
2,41.58,1.04,3,2,2,9,0.665,1,1,0,1,1,00240,237,2
2,30.58,10.665,3,2,12,5,0.085,1,2,12,2,1,00129,3,2
3,19.42,7.25,3,2,11,9,0.04,1,2,1,1,1,00100,1,2
2,17.92,10.21,3,2,7,4,0.0,1,1,0,1,1,00000,50,2
2,20.08,1.25,3,2,3,9,0.0,1,1,0,1,1,00000,0,2
3,19.50,0.29,3,2,10,9,0.29,1,1,0,1,1,00280,364,2
3,27.83,1.0,4,4,5,5,3.0,1,1,0,1,1,00176,537,2
3,17.08,3.29,3,2,8,9,0.335,1,1,0,2,1,00140,2,2
3,36.42,0.75,4,4,5,9,0.585,1,1,0,1,1,00240,3,2
3,40.58,3.29,3,2,11,9,3.5,1,1,0,2,3,00400,0,2
3,21.08,10.085,4,4,6,5,1.25,1,1,0,1,1,00260,0,2
2,22.67,0.75,3,2,3,9,2.0,1,2,2,2,1,00200,394,2
2,25.25,13.5,4,4,7,4,2.0,1,2,1,2,1,00200,1,2
3,17.92,0.205,3,2,2,9,0.04,1,1,0,1,1,00280,750,2
3,35.00,3.375,3,2,3,5,8.29,1,1,0,2,1,00000,0,2